MemberID,Name,Parliament,Party,Date_Elected,Method_of_Election,Date_Vacated,Reason_for_Leaving,Electorate_List
22,"LUDLAM, Alfred",2,,16/11/1855,General election,16/08/1856,Resigned,Hutt
57,"WELLS, William",2,,19/11/1855,General election,20/03/1858,Resigned,Wairau
1,"CARLETON, Hugh",2,,24/11/1855,General election,11/12/1860,Re-elected,Bay of Islands
58,"SMITH, John Valentine",2,,26/11/1855,General election,10/03/1858,Resigned,Wairarapa and Hawkes Bay
59,"FOX, William",2,,27/11/1855,General election,3/02/1861,Re-elected,Wanganui
36,"CARGILL, John",2,,11/12/1855,General election,5/03/1858,Resigned,Dunedin Country
60,"CARGILL, William Walter",2,,11/12/1855,General election,16/12/1859,Resigned,Dunedin Country
35,"MACANDREW, James",2,,11/12/1855,General election,2/11/1858,Resigned,Town of Dunedin
61,"BRITTIN, Dingley Askham",2,,20/12/1855,General election,7/07/1856,Resigned,Christchurch Country
62,"HALL, John",2,,20/12/1855,General election,10/03/1860,Resigned,Christchurch Country
19,"FITZGERALD, James Edward",2,,21/12/1855,General election,29/09/1857,Resigned,Town of Lyttelton
63,"CUFF, John",2,,28/12/1855,General election,12/01/1858,Resigned,Akaroa
64,"CURTIS, Herbert Evelyn",2,,19/05/1856,By-election,4/02/1861,Re-elected,Motueka and Massacre Bay
65,"LEWTHWAITE, John",2,,14/10/1856,By-election,22/03/1858,Resigned,Grey and Bell
66,"OLLIVIER, John",2,,14/10/1856,By-election,21/01/1860,Resigned,Christchurch Country
67,"PACKER, Richard",2,,18/11/1856,By-election,28/12/1859,Resigned,Town of Christchurch
11,"REVANS, Samuel",2,,27/11/1856,By-election,22/03/1858,Resigned,Hutt
25,"FORSAITH, Thomas Spencer",2,,27/04/1858,By-election,11/12/1860,Retired,City of Auckland
68,"SYMONDS, John Jermyn",2,,29/04/1858,By-election,11/12/1860,Retired,Pensioner Settlements
69,"HAULTAIN, Theodore Minet",2,,8/05/1858,By-election,11/12/1860,Defeated,Southern Division
48,"BROWN, Charles",2,,17/05/1858,By-election,27/03/1860,Resigned,Grey and Bell
18,"MONRO, David",2,,21/05/1858,By-election,15/02/1861,Re-elected,Waimea
4,"WELD, Frederick Aloysius",2,,21/05/1858,By-election,28/02/1861,Re-elected,Wairau
70,"WARD, Crosbie",2,,28/05/1858,By-election,24/01/1861,Re-elected,Town of Lyttelton
29,"MOORHOUSE, William Sefton",2,,31/05/1858,By-election,11/12/1860,Defeated,Akaroa
71,"TAYLOR, John Parkin",2,,16/06/1858,By-election,11/12/1860,Retired,Dunedin Country
72,"FERGUSON, James Burne",2,,22/07/1858,By-election,25/04/1860,Re-elected,Wairarapa and Hawkes Bay
10,"FEATHERSTON, Isaac Earl",2,,27/07/1858,By-election,10/12/1860,Re-elected,City of Wellington
21,"RHODES, William Barnard",2,,27/07/1858,By-election,10/12/1860,Re-elected,City of Wellington
73,"BRANDON, Alfred de Bathe",2,,29/07/1858,By-election,19/12/1860,Re-elected,Wellington Country
53,"FITZHERBERT, William",2,,31/07/1858,By-election,11/12/1860,Re-elected,Hutt
74,"RENALL, Alfred William",2,,31/07/1858,By-election,11/12/1860,Re-elected,Hutt
35,"MACANDREW, James",2,,14/01/1859,By-election,5/11/1860,Retired,Town of Dunedin
75,"CARTER, Charles Rooking",2,,7/11/1859,Supplementary Election,11/12/1860,Re-elected,Wairarapa
76,"FARMER, James",2,,29/11/1859,Supplementary Election,11/12/1860,Defeated,Marsden
55,"BELL, Francis Dillon",2,,30/11/1859,Supplementary Election,11/12/1860,Re-elected,County of Wallace
77,"JOLLIE, Edward",2,,18/12/1859,Supplementary Election,5/11/1860,Retired,Cheviot
78,"KELLING, John Fedor Augustus",2,,26/12/1859,By-election,11/12/1860,Defeated,Waimea
24,"SEWELL, Henry",2,,18/01/1860,By-election,11/12/1860,Retired,Town of Christchurch
79,"HEALE, Theophilus",2,,25/01/1860,By-election,5/11/1860,Defeated,Suburbs of Auckland
80,"GILLIES, Thomas Bannatyne",2,,28/03/1860,By-election,10/02/1861,Re-elected,Dunedin Country
81,"COOKSON, Isaac Thomas",2,,2/04/1860,By-election,11/12/1860,Re-elected,Christchurch Country
82,"CLARK, Archibald",2,,5/04/1860,By-election,11/12/1860,Defeated,City of Auckland
83,"HARGREAVES, Joseph",2,,5/04/1860,By-election,24/07/1860,Resigned,Suburbs of Auckland
84,"RICHMOND, James Crowe",2,,16/04/1860,By-election,29/11/1860,Re-elected,Omata
85,"BROWN, Charles Hunter",2,,21/04/1860,By-election,11/12/1860,Defeated,Christchurch Country
72,"FERGUSON, James Burne",2,,26/04/1860,By-election,5/11/1860,Resigned,County of Hawke
86,"FITZGERALD, Thomas Henry",2,,26/04/1860,By-election,5/11/1860,Retired,County of Hawke
45,"HENDERSON, Thomas",2,,23/05/1860,By-election,21/01/1861,Re-elected,Northern Division
32,"KING, Thomas",2,,28/05/1860,By-election,5/11/1860,Defeated,Grey and Bell
43,"CAMPBELL, John Logan",2,,4/08/1860,By-election,5/11/1860,Retired,Suburbs of Auckland
87,"KING, William Cutfield",3,,27/11/1860,General election,8/02/1861,Died,Grey and Bell
84,"RICHMOND, James Crowe",3,,30/11/1860,General election,28/06/1865,Resigned,Omata
21,"RHODES, William Barnard",3,,11/12/1860,General election,27/01/1866,Defeated,City of Wellington
55,"BELL, Francis Dillon",3,,12/12/1860,General election,9/03/1866,Re-elected,Wallace
75,"CARTER, Charles Rooking",3,,12/12/1860,General election,4/07/1865,Resigned,Wairarapa
10,"FEATHERSTON, Isaac Earl",3,,12/12/1860,General election,28/02/1866,Re-elected,City of Wellington
53,"FITZHERBERT, William",3,,12/12/1860,General election,11/02/1866,Re-elected,Hutt
74,"RENALL, Alfred William",3,,12/12/1860,General election,11/02/1866,Retired,Hutt
88,"TAYLOR, William Waring",3,,12/12/1860,General election,28/02/1866,Re-elected,City of Wellington
73,"BRANDON, Alfred de Bathe",3,,20/12/1860,General election,4/03/1866,Re-elected,Porirua
89,"DICK, Thomas",3,,24/12/1860,General election,3/01/1862,Resigned,City of Dunedin
90,"MCGLASHAN, Edward",3,,24/12/1860,General election,17/03/1862,Resigned,City of Dunedin
51,"DOMETT, Alfred",3,,27/12/1860,General election,27/01/1866,Retired,City of Nelson
52,"STAFFORD, Edward William",3,,27/12/1860,General election,19/02/1866,Re-elected,City of Nelson
47,"RICHMOND, Christopher William",3,,28/12/1860,General election,20/01/1862,Resigned,Town of New Plymouth
91,"FIRTH, Josiah Clifton",3,,11/01/1861,General election,30/04/1862,Resigned,City of Auckland West
92,"RUSSELL, Thomas",3,,11/01/1861,General election,27/01/1866,Retired,City of Auckland East
46,"WILLIAMSON, John",3,,11/01/1861,General election,11/02/1866,Re-elected,City of Auckland West
94,"WOOD, Reader Gilson",3,,15/01/1861,General election,18/02/1865,Resigned,Parnell
95,"O'RORKE, George Maurice",3,,18/01/1861,General election,19/02/1866,Re-elected,Town of Onehunga
96,"MUNRO, John",3,,20/01/1861,General election,11/02/1866,Defeated,Marsden
97,"MASON, William",3,,21/01/1861,General election,11/02/1866,Retired,Pensioner Settlements
45,"HENDERSON, Thomas",3,,22/01/1861,General election,11/02/1866,Re-elected,Northern Division
9,"O'NEILL, James",3,,22/01/1861,General election,13/02/1866,Re-elected,Northern Division
98,"ROWLEY, Thomas",3,,25/01/1861,General election,25/04/1862,Resigned,Ellesmere
70,"WARD, Crosbie",3,,25/01/1861,General election,19/02/1866,Re-elected,Town of Lyttelton
93,"GRAHAM, George",3,,28/01/1861,General election,11/02/1866,Re-elected,Newton
40,"GRAHAM, Robert",3,,28/01/1861,General election,21/02/1866,Resigned,Franklin
99,"NIXON, Marmaduke George",3,,28/01/1861,General election,27/05/1864,Died,Franklin
100,"WEMYSS, James Balfour",3,,28/01/1861,General election,21/05/1861,Resigned,Suburbs of Nelson
101,"BUTLER, William",3,,30/01/1861,General election,11/02/1866,Retired,Mongonui
102,"WILSON, John Cracroft",3,,31/01/1861,General election,11/02/1866,Re-elected,City of Christchurch
103,"CREYKE, Alfred Richard",3,,1/02/1861,General election,21/04/1862,Resigned,Avon
104,"HARRISON, Henry Shafto",3,,1/02/1861,General election,1/06/1861,,Wanganui
105,"SAUNDERS, Alfred",3,,1/02/1861,General election,31/10/1864,Resigned,Waimea
59,"FOX, William",3,,4/02/1861,General election,16/05/1865,Resigned,Rangitīkei
106,"RICHMOND, Andrew James",3,,4/02/1861,General election,8/03/1866,Re-elected,Collingwood
64,"CURTIS, Herbert Evelyn",3,,5/02/1861,General election,11/02/1866,Retired,Motueka
81,"COOKSON, Isaac Thomas",3,,7/02/1861,General election,14/07/1863,Resigned,Kaiapoi
80,"GILLIES, Thomas Bannatyne",3,,11/02/1861,General election,3/03/1865,Resigned,Bruce
107,"KETTLE, Charles Henry",3,,11/02/1861,General election,5/06/1862,Died,Bruce
28,"TAYLOR, Charles John",3,,11/02/1861,General election,1/04/1865,Resigned,Raglan
108,"HALL, George Williamson",3,,12/02/1861,General election,10/04/1862,Resigned,Heathcote
1,"CARLETON, Hugh",3,,13/02/1861,General election,11/02/1866,Re-elected,Bay of Islands
109,"WHITE, Augustus Edward",3,,13/02/1861,General election,28/08/1863,Resigned,Akaroa
110,"EYES, William Henry",3,,15/02/1861,General election,22/02/1866,Re-elected,Wairau
18,"MONRO, David",3,,16/02/1861,General election,18/02/1866,Re-elected,Picton
111,"STARK, Henry Powning",3,,19/02/1861,General election,27/04/1861,Resigned,Napier
112,"FRASER, Thomas",3,,20/02/1861,General election,11/02/1866,Disqualified: Absence,Hampden
113,"ORMOND, John Davies",3,,20/02/1861,General election,16/03/1866,Re-elected,Clive
4,"WELD, Frederick Aloysius",3,,1/03/1861,General election,11/02/1866,Retired,Cheviot
114,"MANTELL, Walter Baldock Durant",3,,14/03/1861,General election,11/02/1866,Retired,Wallace
115,"JOLLIE, Francis",3,,25/03/1861,General election,22/02/1866,Re-elected,Timaru
116,"ATKINSON, Harry Albert",3,,20/06/1861,By-election,27/01/1866,Resigned,Grey and Bell
57,"WELLS, William",3,,20/06/1861,By-election,11/02/1866,Re-elected,Suburbs of Nelson
117,"COLENSO, William",3,,1/07/1861,By-election,11/02/1866,Retired,Napier
104,"HARRISON, Henry Shafto",3,,5/07/1861,By-election,11/02/1866,Re-elected,Wanganui
89,"DICK, Thomas",3,,17/03/1862,By-election,10/08/1863,Resigned,City of Dunedin
118,"WATT, Isaac Newton",3,,5/05/1862,By-election,14/08/1863,Resigned,Town of New Plymouth
119,"RICHARDSON, John Larkins Cheese",3,,30/05/1862,By-election,12/09/1862,Resigned,City of Dunedin
19,"FITZGERALD, James Edward",3,,9/06/1862,By-election,11/02/1866,Re-elected,Ellesmere
120,"THOMSON, William",3,,11/06/1862,By-election,11/02/1866,Retired,Avon
29,"MOORHOUSE, William Sefton",3,,12/06/1862,By-election,26/08/1863,Resigned,Heathcote
121,"WILLIAMSON, James",3,,14/06/1862,By-election,12/02/1866,Re-elected,City of Auckland West
122,"CARGILL, Edward Bowes",3,,31/07/1862,By-election,21/06/1865,Resigned,Bruce
123,"PATERSON, James",3,,15/11/1862,By-election,2/05/1863,Resigned,City of Dunedin
124,"JONES, John Richard",3,,4/12/1862,By-election,18/05/1863,Resigned,Hampden
119,"RICHARDSON, John Larkins Cheese",3,,28/03/1863,Supplementary Election,15/03/1866,Re-elected,Dunedin and Suburbs North
125,"REYNOLDS, William Hunter",3,,6/04/1863,Supplementary Election,27/01/1866,Resigned,Dunedin and Suburbs South
126,"BALDWIN, William",3,,14/04/1863,Supplementary Election,27/04/1865,Resigned,Gold Fields District
127,"BRODIE, George",3,,14/04/1863,Supplementary Election,27/01/1866,Retired,Gold Fields District
123,"PATERSON, James",3,,20/06/1863,By-election,8/03/1866,Re-elected,Dunedin and Suburbs South
128,"WAYNE, Frederick",3,,2/07/1863,By-election,11/02/1866,Retired,Hampden
129,"WILKIN, Robert",3,,2/09/1863,By-election,11/02/1866,Retired,Kaiapoi
130,"VOGEL, Julius",3,,3/09/1863,By-election,25/02/1866,Re-elected,Dunedin and Suburbs North
131,"TURTON, Henry Hanson",3,,9/10/1863,By-election,21/10/1864,Resigned,Town of New Plymouth
132,"COX, Alfred",3,,28/10/1863,By-election,19/02/1866,Re-elected,Heathcote
133,"WALKER, Lancelot",3,,30/10/1863,By-election,1/03/1866,Re-elected,Akaroa
69,"HAULTAIN, Theodore Minet",3,,13/10/1864,By-election,21/02/1866,Re-elected,Franklin
48,"BROWN, Charles",3,,18/11/1864,By-election,24/04/1865,Resigned,Town of New Plymouth
134,"MILES, John George",3,,29/11/1864,By-election,11/02/1866,Retired,Waimea
135,"BURNS, Arthur John",3,,8/04/1865,By-election,11/02/1866,Re-elected,Bruce
136,"BUCKLAND, William Thomas",3,,19/04/1865,By-election,11/02/1866,Retired,Raglan
137,"CREIGHTON, Robert James",3,,20/04/1865,By-election,11/02/1866,Retired,Parnell
24,"SEWELL, Henry",3,,19/05/1865,By-election,27/01/1866,Defeated,Town of New Plymouth
138,"HAUGHTON, Charles Edward Mallard",3,,29/05/1865,By-election,4/03/1866,Re-elected,Gold Fields District
139,"PHARAZYN, Robert",3,,10/07/1865,By-election,11/02/1866,Defeated,Rangitīkei
31,"GLEDHILL, Francis Ullathorne",3,,18/07/1865,By-election,27/01/1866,Retired,Town of New Plymouth
35,"MACANDREW, James",3,,26/07/1865,By-election,11/02/1866,Re-elected,Bruce
140,"BUNNY, Henry",3,,29/07/1865,By-election,11/02/1866,Re-elected,Wairarapa
82,"CLARK, Archibald",4,,12/02/1866,General election,22/02/1871,Re-elected,City of Auckland East
19,"FITZGERALD, James Edward",4,,12/02/1866,General election,3/01/1867,Resigned,City of Christchurch
102,"WILSON, John Cracroft",4,,12/02/1866,General election,13/01/1871,Retired,Coleridge
121,"WILLIAMSON, James",4,,13/02/1866,General election,5/04/1867,Resigned,City of Auckland West
46,"WILLIAMSON, John",4,,13/02/1866,General election,13/01/1871,Re-elected,City of Auckland West
45,"HENDERSON, Thomas",4,,14/02/1866,General election,5/06/1867,Resigned,Northern Division
9,"O'NEILL, James",4,,14/02/1866,General election,19/01/1869,Resigned,Northern Division
141,"DE QUINCEY, Paul Frederick",4,,15/02/1866,General election,1/07/1867,Resigned,Pensioner Settlements
93,"GRAHAM, George",4,,15/02/1866,General election,1/03/1869,Resigned,Newton
57,"WELLS, William",4,,15/02/1866,General election,13/01/1871,Retired,Suburbs of Nelson
142,"BESWICK, Joseph",4,,16/02/1866,General election,24/04/1867,Resigned,Kaiapoi
143,"WHITAKER, Frederick",4,,16/02/1866,General election,29/04/1867,Resigned,Parnell
18,"MONRO, David",4,,19/02/1866,General election,9/02/1871,Re-elected,Cheviot
132,"COX, Alfred",4,,20/02/1866,General election,14/10/1868,Resigned,Timaru
144,"CURTIS, Oswald",4,,20/02/1866,General election,5/02/1871,Re-elected,City of Nelson
95,"O'RORKE, George Maurice",4,,20/02/1866,General election,19/02/1871,Re-elected,Town of Onehunga
52,"STAFFORD, Edward William",4,,20/02/1866,General election,19/11/1868,Resigned,City of Nelson
70,"WARD, Crosbie",4,,20/02/1866,General election,13/01/1871,Resigned,Avon
145,"ARMSTRONG, George",4,,21/02/1866,General election,30/12/1870,Retired,Akaroa
40,"GRAHAM, Robert",4,,22/02/1866,General election,25/05/1868,Resigned,Franklin
69,"HAULTAIN, Theodore Minet",4,,22/02/1866,General election,13/01/1871,Retired,Franklin
29,"MOORHOUSE, William Sefton",4,,22/02/1866,General election,16/07/1866,Defeated,Mount Herbert
110,"EYES, William Henry",4,,23/02/1866,General election,23/01/1871,Re-elected,Wairau
115,"JOLLIE, Francis",4,,23/02/1866,General election,13/01/1871,Retired,Gladstone
146,"NEWMAN, Joseph",4,,23/02/1866,General election,9/04/1867,Resigned,Raglan
147,"OLIVER, Arthur Robert",4,,23/02/1866,General election,9/01/1867,Resigned,Waimea
148,"HANKINSON, Donald",4,,26/02/1866,General election,2/04/1870,Resigned,Riverton
149,"O'NEILL, Charles Gordon",4,,26/02/1866,General election,8/02/1871,Re-elected,Gold Fields District
150,"STEVENS, Edward Cephas John",4,,26/02/1866,General election,13/01/1871,Defeated,Selwyn
130,"VOGEL, Julius",4,,26/02/1866,General election,29/01/1871,Re-elected,Gold Fields District
53,"FITZHERBERT, William",4,,28/02/1866,General election,13/01/1871,Re-elected,Hutt
22,"LUDLAM, Alfred",4,,28/02/1866,General election,13/01/1871,Retired,Hutt
151,"MURISON, William Dick",4,,28/02/1866,General election,10/07/1868,Resigned,Waikouaiti
152,"BORLASE, Charles Bonython",4,,1/03/1866,General election,30/12/1870,Defeated,City of Wellington
10,"FEATHERSTON, Isaac Earl",4,,1/03/1866,General election,30/12/1870,Retired,City of Wellington
62,"HALL, John",4,,1/03/1866,General election,13/01/1871,Re-elected,Heathcote
88,"TAYLOR, William Waring",4,,1/03/1866,General election,30/12/1870,Retired,City of Wellington
49,"PARKER, Charles",4,,2/03/1866,General election,9/02/1871,Re-elected,Motueka
84,"RICHMOND, James Crowe",4,,2/03/1866,General election,13/01/1871,Defeated,Grey and Bell
133,"WALKER, Lancelot",4,,2/03/1866,General election,24/07/1867,Resigned,Ashley
153,"BRYCE, John",4,,3/03/1866,General election,16/02/1867,Resigned,Wanganui
140,"BUNNY, Henry",4,,3/03/1866,General election,13/01/1871,Re-elected,Wairarapa
154,"HARGREAVES, Edward Allan",4,,3/03/1866,General election,24/04/1867,Resigned,Town of Lyttelton
73,"BRANDON, Alfred de Bathe",4,,5/03/1866,General election,16/01/1871,Re-elected,Porirua
1,"CARLETON, Hugh",4,,5/03/1866,General election,13/01/1871,Defeated,Bay of Islands
138,"HAUGHTON, Charles Edward Mallard",4,,5/03/1866,General election,24/01/1871,Re-elected,Hampden
155,"HULL, Francis Holmes",4,,5/03/1866,General election,14/12/1868,Resigned,Marsden
36,"CARGILL, John",4,,7/03/1866,General election,18/02/1870,Resigned,Bruce
156,"REID, Donald",4,,7/03/1866,General election,29/05/1869,Resigned,Taieri
157,"WATT, William Hogg",4,,8/03/1866,General election,15/06/1868,Resigned,Rangitīkei
158,"ATKINSON, Arthur Samuel",4,,9/03/1866,General election,28/12/1867,Resigned,Omata
35,"MACANDREW, James",4,,9/03/1866,General election,13/01/1871,Re-elected,Clutha
123,"PATERSON, James",4,,9/03/1866,General election,9/01/1869,Resigned,City of Dunedin
125,"REYNOLDS, William Hunter",4,,9/03/1866,General election,15/10/1866,Resigned,City of Dunedin
106,"RICHMOND, Andrew James",4,,9/03/1866,General election,7/02/1868,Resigned,Collingwood
159,"WOOD, William",4,,9/03/1866,General election,13/01/1871,Retired,Invercargill
55,"BELL, Francis Dillon",4,,10/03/1866,General election,13/01/1871,Re-elected,Mataura
160,"BEAUCHAMP, Arthur",4,,14/03/1866,General election,12/06/1867,Resigned,Picton
161,"BRADSHAW, James Benn Bradshaigh",4,,16/03/1866,General election,8/02/1871,Re-elected,Gold Field Towns
135,"BURNS, Arthur John",4,,16/03/1866,General election,25/03/1870,Resigned,Caversham
29,"MOORHOUSE, William Sefton",4,,16/03/1866,General election,20/02/1868,Resigned,Westland
119,"RICHARDSON, John Larkins Cheese",4,,16/03/1866,General election,16/03/1867,Resigned,Town of New Plymouth
126,"BALDWIN, William",4,,17/03/1866,General election,15/02/1867,Resigned,Manuherikia
89,"DICK, Thomas",4,,17/03/1866,General election,15/10/1866,Resigned,Port Chalmers
113,"ORMOND, John Davies",4,,17/03/1866,General election,25/01/1871,Re-elected,Clive
162,"BALL, Thomas",4,,20/03/1866,General election,3/01/1870,Resigned,Mongonui
163,"MCLEAN, Donald",4,,20/03/1866,General election,18/01/1871,Re-elected,Napier
164,"HEPBURN, George",4,,22/03/1866,General election,9/01/1869,Resigned,Roslyn
165,"CAMPBELL, Robert",4,,23/03/1866,General election,9/04/1869,Resigned,Oamaru
166,"MCNEIL, Alexander",4,,6/04/1866,General election,1/04/1869,Resigned,Wallace
167,"POTTS, Thomas Henry",4,,27/07/1866,By-election,13/01/1871,Retired,Mount Herbert
89,"DICK, Thomas",4,,15/12/1866,By-election,26/04/1867,Resigned,Port Chalmers
125,"REYNOLDS, William Hunter",4,,19/01/1867,By-election,19/01/1871,Re-elected,City of Dunedin
3,"TRAVERS, William Thomas Locke",4,,13/02/1867,By-election,29/07/1870,Resigned,City of Christchurch
168,"REEVES, William",4,,11/03/1867,By-election,2/05/1868,Resigned,Avon
169,"MERVYN, David Hunter",4,,22/04/1867,By-election,15/02/1871,Re-elected,Manuherikia
170,"DIGNAN, Patrick",4,,25/04/1867,By-election,30/12/1870,Defeated,City of Auckland West
104,"HARRISON, Henry Shafto",4,,27/04/1867,By-election,30/12/1870,Defeated,Wanganui
116,"ATKINSON, Harry Albert",4,,29/04/1867,By-election,18/03/1869,Resigned,Town of New Plymouth
76,"FARMER, James",4,,4/06/1867,By-election,13/01/1871,Retired,Raglan
171,"HEAPHY, Charles",4,,5/06/1867,By-election,13/04/1870,Resigned,Parnell
172,"MAIN, David Forsyth",4,,15/06/1867,By-election,13/01/1871,Retired,Port Chalmers
173,"BAIGENT, Edward",4,,28/06/1867,By-election,13/01/1871,Defeated,Waimea
174,"MACFARLAN, George",4,,1/07/1867,By-election,9/10/1868,Died,Town of Lyttelton
175,"MACFARLANE, Thomas",4,,1/07/1867,By-election,13/01/1871,Retired,Northern Division
176,"STUDHOLME, John",4,,5/07/1867,By-election,26/01/1871,Re-elected,Kaiapoi
177,"ADAMS, William",4,,25/07/1867,By-election,9/07/1868,Resigned,Picton
