Condition,Independent_Variable,Dependent.variable,Participant ID
magnesium,80.66029371,27.51582917,911
magnesium,80.70850442,27.73993381,307
magnesium,73.2922127,24.47744118,305
magnesium,69.46194448,20.06732783,752
magnesium,79.22094564,12.61820715,398
magnesium,67.87853861,17.92290457,965
magnesium,44.17814034,18.25434805,417
magnesium,46.86120348,19.40972952,801
magnesium,49.62142359,15.1388913,816
magnesium,52.20005917,28.77473971,437
magnesium,57.35572638,20.96234883,712
magnesium,58.38260141,7.249261029,108
magnesium,48.43751312,23.94711276,67
magnesium,55.94265929,14.254231,993
magnesium,50.81968465,2.313601964,343
magnesium,57.53517492,10.55595823,557
magnesium,43.81085065,20.99375255,962
magnesium,41.78277659,0.132077008,195
magnesium,55.02001261,4.840550963,19
magnesium,50.73003619,17.40455006,522
magnesium,52.55897152,9.396767201,498
magnesium,49.23543168,14.89541109,330
magnesium,53.92269953,17.74809257,121
magnesium,66.78203426,13.83682417,859
magnesium,68.81007595,13.63829802,403
magnesium,61.11297896,19.35951197,507
magnesium,78.7283928,9.883514308,72
magnesium,72.37782129,8.212474528,288
magnesium,75.23308796,5.294259618,636
magnesium,69.70161406,15.47233003,131
magnesium,71.03620986,6.974161862,214
magnesium,70.44743165,4.905788396,505
magnesium,38.38352765,31.28713816,222
magnesium,35.14492487,17.47926891,925
magnesium,99.17301461,30.13940939,112
magnesium,54.36129936,100.8695776,637
magnesium,51.83256316,106.6109515,64
magnesium,48.57353549,95.29069193,720
creatine,40.95310199,90.55908926,999
creatine,33.12466285,88.4569099,390
creatine,41.43082941,87.80970076,437
creatine,35.2340785,87.84862424,345
creatine,34.04490127,85.58899769,62
creatine,41.9585664,84.79201614,64
creatine,37.40635568,80.98926268,117
creatine,42.75092342,90.76110805,625
creatine,37.79196061,86.25177818,754
creatine,40.03295248,85.46774399,965
creatine,44.705964,77.68097559,74
creatine,31.88403621,80.63181092,477
creatine,46.06967886,71.39074321,130
creatine,44.97497845,77.48502868,254
creatine,44.27522228,74.51091738,882
creatine,39.80395666,66.45412201,977
creatine,51.13609037,63.42882061,997
creatine,50.18954231,72.31354345,151
creatine,48.63867879,63.6535598,941
creatine,53.37489151,59.8088278,330
creatine,47.50262722,59.37908344,833
creatine,54.54488379,63.77739213,205
creatine,57.96401136,61.57433113,341
creatine,66.92390798,62.87562035,699
creatine,53.01853725,55.24635945,946
creatine,72.21121978,62.77417115,256
creatine,74.45019967,61.80138501,412
creatine,70.34039858,71.85428495,560
creatine,67.85956841,53.14156156,631
creatine,61.36116336,35.82198576,117
creatine,57.34387156,38.78436417,876
creatine,52.28113784,26.62343427,458
creatine,47.58131638,41.93529187,730
creatine,48.52038829,37.26729106,915
creatine,48.09138879,34.03603573,672
creatine,48.61532368,25.62197903,21
creatine,54.14744368,27.28191006,128
creatine,48.08274723,32.87653784,951
creatine,36.36723801,23.54412971,186
creatine,43.86166129,22.38595137,707
creatine,43.23961368,24.03023153,57
creatine,53.22510727,43.62696331,606
creatine,47.00519482,27.4618195,859
creatine,35.95205879,14.32159007,763
creatine,44.26303024,16.39086147,891
creatine,41.82876485,27.11349033,433
creatine,38.22268937,22.84591908,925
creatine,40.59857049,23.7768546,305
creatine,41.18471645,25.19277007,134
creatine,48.3728803,28.08805804,638
creatine,42.85066148,34.66793885,928
creatine,46.19610521,23.76138131,275
creatine,44.79977645,34.26424966,929
creatine,49.41397527,42.09876985,48
creatine,52.31284803,39.74482164,212
creatine,61.26423786,34.68378075,716
creatine,76.0472175,38.36387018,570
creatine,59.32365127,35.41415952,222
creatine,69.0450379,46.44610626,595
creatine,62.01486581,43.45605169,174
creatine,63.49241307,50.94054248,974
creatine,76.84007283,72.02680273,133
creatine,77.88767122,69.96894953,752
creatine,73.01942029,71.83430195,74
creatine,46.89068332,73.08672343,452
creatine,40.60456371,81.62505184,602
creatine,48.23129816,69.81828941,491
creatine,42.96136803,82.93051295,256
creatine,37.5865904,80.41086992,894
creatine,41.35995749,84.2086685,183
creatine,45.44303133,76.4433564,749
creatine,39.70665768,84.31983632,372
creatine,45.79546902,77.48439462,884
creatine,45.71030812,69.19726067,827
creatine,46.99993179,69.47667113,221
creatine,34.42445739,67.53023052,846
creatine,53.45040201,70.77157352,159
creatine,45.5309932,72.9704868,582
creatine,41.85280678,94.01893048,959
creatine,74.66530432,95.65138664,627
creatine,87.06927002,99.63704795,783
creatine,92.17349373,98.27685664,158
creatine,81.39151547,87.6552192,635
creatine,94.72680816,83.00371012,94
creatine,78.19731598,75.78713123,699
creatine,82.02277089,80.7489068,946
creatine,86.13747512,78.44962671,785
creatine,81.79464848,72.84260122,246
creatine,78.55759184,72.63826418,791
creatine,68.80648979,68.00026418,708
creatine,71.77950763,66.84008091,605
creatine,75.12911202,75.8923897,737
creatine,73.177671,34.60855999,722
creatine,71.21506367,35.44444073,796
creatine,71.04663964,30.0038964,49
creatine,81.58365643,22.02583026,218
creatine,83.88986372,26.09142214,928
creatine,78.58508336,23.95314643,641
creatine,65.21597481,43.57910529,13
creatine,66.55753714,44.22203964,877
creatine,69.96601018,39.65124625,240
creatine,63.61037058,44.59638491,126
creatine,78.59519005,32.5669468,185
creatine,81.21467517,31.07215586,513
creatine,75.82665918,26.33862892,787
creatine,69.09289192,26.73179511,925
creatine,79.07631935,28.81866184,572
creatine,74.97036216,24.25747656,406
creatine,76.95829431,12.34089969,313
creatine,75.17938383,36.54448342,426
creatine,54.14509874,17.52268184,451
creatine,45.47352477,31.43319425,483
creatine,47.94966517,15.21142829,465
creatine,36.03206348,21.91078727,284
creatine,37.08385264,12.40779952,294
creatine,32.15511375,17.55143959,141
creatine,42.17612979,22.00646669,520
creatine,41.63200428,10.32896792,78
creatine,53.03498599,26.08647927,201
creatine,40.43139199,12.63368861,369
creatine,39.91580769,18.52491055,600
creatine,36.44510084,13.41465288,998
creatine,36.26993477,20.92397542,104
creatine,41.77876986,-1.948855259,806
creatine,44.50068643,20.21637966,682
creatine,52.68506211,23.20269404,445
creatine,38.14856922,15.80854258,977
creatine,77.75112665,22.73977752,918
creatine,83.53502046,21.74216961,270
creatine,75.19491454,16.78261383,141
creatine,86.67960859,21.51546288,928
creatine,89.03752152,16.59918577,590
creatine,83.16777277,8.469198318,537
creatine,84.0644021,18.44728654,975
creatine,83.76168604,6.344018841,798
creatine,81.06048885,10.12646137,158
creatine,39.0506664,23.87183432,246
creatine,33.14410205,16.36930589,64
creatine,80.93439446,20.31146993,710
creatine,28.64994103,93.67306194,13
creatine,29.46376186,93.00090123,556
creatine,23.6694762,85.95471524,586
paracetamol,56.49307391,87.27257296,132
paracetamol,57.94329435,89.2010709,617
paracetamol,67.78636479,88.64596844,180
paracetamol,51.37638823,93.67440722,825
paracetamol,62.68088754,93.0695595,338
paracetamol,65.95290979,77.94145885,451
paracetamol,29.87680141,67.47263239,233
paracetamol,34.66716452,54.38444215,981
paracetamol,26.06432741,66.41672357,241
paracetamol,38.98457778,65.55417329,328
paracetamol,35.52659287,71.53537074,20
paracetamol,32.96587717,69.13842918,528
paracetamol,34.10977457,56.47246587,166
paracetamol,31.43747705,62.39839195,346
paracetamol,30.13548361,62.17839666,618
paracetamol,31.84749078,63.607693,797
paracetamol,25.64335938,68.84447651,547
paracetamol,35.7796757,56.34514138,762
paracetamol,31.36073879,57.87832538,608
paracetamol,30.57338411,52.58515261,185
paracetamol,20.87649753,64.92702248,589
paracetamol,49.542891,66.96659476,104
paracetamol,45.40767211,73.80114749,489
paracetamol,39.50984811,67.96354784,790
paracetamol,71.66074061,64.78993593,355
paracetamol,64.99905115,72.67028047,693
paracetamol,65.41390682,57.71656714,961
paracetamol,69.63832902,78.71666141,164
paracetamol,27.280351,58.83982329,953
paracetamol,46.71355291,51.70837274,159
paracetamol,40.82043082,51.07521457,84
paracetamol,48.45980917,36.95693682,701
paracetamol,48.03856598,35.60377518,985
paracetamol,44.08404344,35.03531216,58
paracetamol,48.45507524,33.45016883,481
paracetamol,45.86378718,28.39621967,55
paracetamol,51.81644772,35.79719162,359
paracetamol,43.50091423,25.71144505,181
paracetamol,51.45253696,29.59134523,697
paracetamol,49.76493011,35.62480263,841
paracetamol,37.50580967,48.87644008,728
paracetamol,22.97898703,57.62427549,509
paracetamol,34.3645272,62.11799481,647
paracetamol,45.13341624,35.64214594,613
paracetamol,44.69513878,35.98780248,750
paracetamol,37.36207852,18.13986974,69
paracetamol,46.23807243,11.12812788,928
paracetamol,38.69177382,16.52369309,674
paracetamol,41.39170041,10.33378509,416
paracetamol,42.35501925,18.56207788,358
paracetamol,39.99780921,30.15520073,123
paracetamol,44.35287253,19.45146609,757
paracetamol,54.51467354,33.48505276,988
paracetamol,53.25579608,29.6234966,30
paracetamol,64.95436638,33.33942421,117
paracetamol,65.20478829,37.62544593,760
paracetamol,69.84201623,25.24127568,698
paracetamol,74.25983415,40.31735747,243
paracetamol,70.23187094,41.42769926,380
paracetamol,72.87919012,46.89312828,254
paracetamol,68.02181667,47.81178328,767
paracetamol,81.07309629,65.42450776,33
paracetamol,62.33874632,68.1491355,476
paracetamol,64.95279948,69.67873451,723
paracetamol,64.85633027,82.47431531,512
paracetamol,58.65198271,85.2378022,497
paracetamol,59.99897491,99.20943338,722
paracetamol,57.20123257,90.90978214,491
paracetamol,56.87820591,96.38181958,244
paracetamol,62.33923697,96.48001942,286
paracetamol,62.15132416,85.53646954,944
paracetamol,58.05435486,85.13642449,849
paracetamol,55.23487082,80.49235522,738
paracetamol,54.37338402,79.50370247,386
paracetamol,56.67585187,75.18902421,453
paracetamol,30.99661391,63.64164575,542
paracetamol,32.26432462,55.36290276,572
paracetamol,28.36061108,62.31080241,37
paracetamol,57.02397827,97.00796348,866
paracetamol,63.57555419,91.93864485,714
paracetamol,58.42578391,92.59669955,170
paracetamol,66.75652759,88.41822189,23
paracetamol,53.80674516,98.43872584,675
paracetamol,62.87812937,102.2423822,688
paracetamol,65.81195671,85.97094294,211
paracetamol,60.76375991,77.51313816,331
paracetamol,75.77706867,58.17807555,988
paracetamol,84.20449544,63.57811192,575
paracetamol,72.69176999,58.94215761,114
paracetamol,81.80003695,60.88014587,633
paracetamol,81.61989966,54.44330113,707
paracetamol,86.33876151,64.47911542,562
paracetamol,77.84119338,55.60271223,992
paracetamol,81.13540457,65.06423517,387
paracetamol,84.27926875,50.17562343,659
paracetamol,81.4710733,44.00944904,218
paracetamol,74.08426302,20.5056485,88
paracetamol,85.88385928,13.15755055,252
paracetamol,61.65031428,32.63776283,165
paracetamol,61.76403557,27.57422833,263
paracetamol,63.48112487,23.67941479,683
paracetamol,75.4624617,16.83148976,322
paracetamol,66.26782807,24.40159788,368
paracetamol,77.81311068,5.539198992,71
paracetamol,83.95123844,18.22285776,458
paracetamol,76.86645678,20.08382677,172
paracetamol,77.12938785,21.94252479,794
paracetamol,81.25415678,16.33833317,959
paracetamol,84.54899537,14.43498531,170
paracetamol,78.38371099,24.84169801,633
paracetamol,81.1500745,15.33920236,374
paracetamol,50.42021132,20.25563615,71
paracetamol,47.56898061,28.92958406,267
paracetamol,43.0562361,23.54949946,55
paracetamol,56.47848346,27.02894766,767
paracetamol,46.67773555,19.77514865,886
paracetamol,36.96052163,18.7657448,345
paracetamol,34.46102808,10.51189814,923
paracetamol,39.23946546,21.06032941,845
paracetamol,41.28770223,18.19539856,624
paracetamol,57.23986939,31.3118856,883
paracetamol,48.02118958,19.74930906,427
paracetamol,45.88002304,15.71911495,739
paracetamol,44.41674232,16.72913813,629
paracetamol,52.16285539,21.29424091,244
paracetamol,41.42680763,13.67870848,925
paracetamol,45.68995375,23.15824296,141
paracetamol,77.01915849,8.623610201,819
paracetamol,76.29098218,25.66387705,783
paracetamol,85.07940519,15.04862999,601
paracetamol,76.52614268,10.25700561,168
paracetamol,78.48187697,14.01843867,540
paracetamol,83.29926393,17.27622901,242
paracetamol,69.89682909,16.38566651,1000
paracetamol,86.11281038,19.61514474,894
paracetamol,85.1856073,15.55586692,62
paracetamol,42.00940605,25.36724891,284
paracetamol,44.53998818,19.46554479,381
paracetamol,82.95102981,47.00604774,965
paracetamol,54.04841537,87.79943866,792
paracetamol,60.16198599,93.20354041,286
paracetamol,62.73315753,91.9338666,680
high_proteins,57.93862379,86.93377493,945
high_proteins,59.75632228,82.50601003,898
high_proteins,49.21114238,73.07852228,713
high_proteins,39.21178998,83.6223964,408
high_proteins,47.73926339,82.61191636,768
high_proteins,42.88131225,88.61822788,634
high_proteins,41.07053105,97.8640191,934
high_proteins,35.02341679,89.26069137,894
high_proteins,28.81388881,78.4054724,930
high_proteins,23.15033119,74.80032674,887
high_proteins,24.37104602,79.42924892,82
high_proteins,32.63035647,73.22260368,50
high_proteins,18.24442737,69.70509863,330
high_proteins,27.37613609,68.58964284,20
high_proteins,24.77561881,63.40285919,992
high_proteins,36.46894048,62.98137974,140
high_proteins,33.43711604,63.14488336,985
high_proteins,41.69435829,77.89946055,468
high_proteins,42.07790279,77.21304535,77
high_proteins,52.92609237,67.33576573,486
high_proteins,40.11139187,71.19798748,274
high_proteins,56.8911063,77.80027672,156
high_proteins,64.43176203,64.12853717,982
high_proteins,56.36797755,72.60097594,796
high_proteins,57.16806914,83.94989863,876
high_proteins,68.75123093,70.78037166,242
high_proteins,63.28019587,77.90821191,687
high_proteins,74.04231153,82.80835733,559
high_proteins,59.14247464,69.87129471,346
high_proteins,60.6903412,34.06418677,954
high_proteins,55.44549565,32.99930136,405
high_proteins,55.83523885,28.62873772,920
high_proteins,56.45779121,37.42135909,130
high_proteins,48.94303648,30.15849297,354
high_proteins,56.1847905,27.55942548,163
high_proteins,37.75876216,33.58995335,681
high_proteins,46.55646313,21.31458859,470
