id,gender,age,educational_achievement,working_memory,cognitive_control
6228,male,39,4.828407549,-0.207618443,-0.694954633
5918,female,20,5.247757602,0.029005422,0.718913315
7044,female,46,5.108015586,-0.032627685,0.731415453
9839,female,22,7.702103213,1.015695447,1.144715498
8977,female,43,3.593456088,-0.984555786,-1.002093718
5142,male,51,6.332297036,0.096743741,0.548308907
2690,female,23,5.571338699,0.345816953,1.168151207
3989,female,41,4.030294166,-0.599118188,-0.575951664
5186,female,42,5.358068069,0.165025725,-1.011604498
3362,female,19,6.637318272,0.978874738,1.270636708
6750,male,35,5.400670105,0.07801251,0.107626017
5254,male,19,6.123238097,0.31601712,-0.129079492
9500,male,39,3.79299244,-0.049654446,-0.575966649
8146,female,44,6.019346394,0.742754738,-1.084329543
6814,male,35,5.211327194,-0.999302102,0.544287163
4678,male,41,3.861498304,-0.992952527,-0.428603094
8619,other,46,6.440293004,0.429041356,0.396191626
1623,female,23,4.725150472,-1.015547713,-0.353797177
7514,female,24,4.957561288,-0.629683626,0.738915445
9302,female,31,3.429211259,-1.229466577,-2.435535544
9745,female,20,6.193867802,-0.2681499,1.73136818
8700,male,39,6.186091449,1.129375159,0.555051357
8962,male,31,5.524627057,-0.326856241,-0.065156346
9850,female,51,5.15280477,-1.08405416,0.476398677
5522,male,33,3.643325278,-1.689189479,0.446503972
5102,male,44,4.529206682,0.25378055,-1.635203342
9658,male,29,2.886179878,-0.790580697,-1.412411501
2533,female,50,5.969208275,0.14491955,0.279726266
3089,male,20,6.27411203,0.822364147,0.612517235
7569,female,52,3.916709513,-1.03820063,-1.288593886
2564,male,25,6.912579648,-0.101803512,1.313896329
9627,male,24,7.367599191,1.863754385,1.873451409
9169,male,25,7.001469863,1.406286733,0.200375552
8655,female,29,5.066333856,0.010820535,-0.872391275
3446,male,36,5.75947342,0.778602649,-0.184877921
3455,female,30,4.545301768,-0.805449979,-0.361838446
2873,male,44,6.476074831,1.756120531,0.087903355
1413,male,38,5.085267345,0.224231381,-0.849456393
1409,female,38,6.063770368,-0.052432664,0.991876749
3387,male,35,8.033492824,2.209464366,0.378467882
8022,male,22,8.79950885,1.118063372,2.519069231
5020,male,30,3.704340728,-2.134596886,-0.264412417
6735,female,27,4.560685849,-0.123930611,-1.25643429
8677,female,49,3.459298505,-1.49478896,-1.332105964
2348,female,24,5.96685673,1.217859641,-0.161433333
8527,male,27,4.57158801,-0.543584163,-0.659673242
1671,female,25,7.603201422,2.351084616,1.103592659
6300,female,19,7.064091108,0.746843506,0.378051452
2213,male,31,2.71484667,-1.531564304,-1.634818575
5376,other,33,8.455768489,1.430390417,1.119775921
6366,male,23,5.725876292,0.102943414,-0.488175261
4546,male,52,2.802548352,-1.231143925,-2.211023948
8600,male,42,6.446693663,0.784753791,-0.391961443
7784,male,49,6.168747911,1.094733541,0.217729024
6586,female,23,6.18345231,0.026840915,0.760360205
2574,female,37,7.852569664,1.949729011,0.982330299
4235,other,40,6.702711557,-0.216667686,0.905589511
4689,female,37,4.427431504,-0.638662539,0.184673587
9807,male,37,3.46151926,-1.966480738,-1.092818426
2153,male,19,6.333910183,0.553176751,1.084979598
1535,male,29,4.558770962,-0.318545235,-0.123420937
9410,female,45,6.759467366,0.767437535,1.190792004
1585,female,48,4.102625673,-0.406169989,-1.323285722
9472,female,39,6.476999318,-0.523516953,1.371422039
6799,male,28,6.543769551,0.159385336,2.036765078
7288,female,33,4.034488059,-0.004688501,-1.935579391
1461,female,21,4.202912467,-0.216659878,-0.973098954
1914,female,22,7.123511875,0.357398475,0.899763285
8372,male,33,5.435293349,0.07657387,-0.967736527
4519,other,20,3.841600306,-0.324585218,-0.413517964
3298,female,32,4.934472244,-0.18575734,-0.21077176
5980,female,41,4.948542429,0.562919721,-0.074614778
6241,female,41,4.581679141,-1.311734228,0.041161754
9855,female,48,5.07720928,0.11510816,0.057495187
2722,male,27,4.656542467,-0.32079617,-0.976651175
3561,other,51,2.268037691,-2.213436779,-1.137714276
9122,male,29,7.907182387,1.935676451,0.310217453
8032,female,21,6.013008164,1.706876483,-0.388312647
8674,female,28,5.958061143,0.18985944,0.964123312
8287,male,44,2.561849613,-1.353756109,-1.463754915
6683,female,52,5.150895604,-1.0828146,-0.178557037
3482,female,51,3.385490312,-1.586554739,-0.699674536
4503,female,30,5.096997823,0.106160068,-0.410558385
5543,male,34,7.380525842,0.164661163,1.446482623
1671,male,40,5.299312165,0.636176249,-0.852533277
6940,female,47,3.869106243,-1.46607639,-1.549587266
5526,female,25,7.210084148,0.890788021,2.271037862
3354,female,39,3.752253249,-1.929846883,-0.127391468
7650,other,31,7.198250415,1.119459193,0.815482432
7833,other,22,5.59002564,-0.71566017,0.220460297
2427,female,20,8.171489537,1.657327944,2.209853788
7575,male,22,6.481849797,0.935415112,1.041053012
2406,male,37,4.583542818,-0.842128147,-0.475368352
8127,female,20,1,-2.681627721,-2.240587453
5553,male,42,4.28451118,-0.093818971,-1.661711026
8085,male,34,7.362770273,1.01922508,0.497127268
8734,female,46,4.697843002,-0.027173677,-0.663805197
5458,other,45,5.094622532,0.651631231,-0.915025664
6389,male,29,4.463583796,-1.720893195,0.334555648
3967,male,39,4.064597023,-0.898772521,-0.279600511
3169,female,25,7.113594343,1.252537587,1.320760125
5070,male,41,7.52161232,1.955732549,0.52363628
9571,male,26,8.681182287,2.166194134,1.381150665
1802,female,40,5.015138431,0.658557076,-0.945005078
5625,female,29,4.668131945,-1.466096627,0.260830236
1792,male,48,4.11353248,-0.716448743,-0.588314891
9003,female,30,6.17020564,0.738672271,-0.41865503
8201,male,30,7.466635423,2.107754414,1.287619968
6601,female,20,6.302275875,-0.156585536,1.506207918
7940,female,20,5.624731714,-1.328751079,-0.097331353
3464,male,48,4.92059047,0.656098344,-0.35358098
8878,female,38,4.689893526,-0.776078483,-1.529462886
4126,female,21,6.027088001,1.6244583,-1.244544633
3300,other,24,6.401774449,1.245557834,0.430220182
2738,other,26,3.751330689,-0.332121806,-1.384931705
4546,male,27,5.991783922,1.041919182,-0.725789166
1536,female,22,5.961184939,0.525480321,0.656251069
3017,male,19,7.09360892,0.237567087,2.031340916
3930,female,53,3.864871354,-0.662617416,-1.132067029
5751,female,22,7.015018023,1.110341853,1.547650179
6437,female,30,4.462280062,-0.416698957,-0.954702488
3397,female,38,3.171652421,-1.474474953,-0.598855192
9003,other,51,4.765148471,0.071516504,0.047054468
1722,female,24,7.131228673,1.08814932,1.41017913
5105,female,25,4.432199684,-0.205933389,-0.526606527
6656,female,45,5.419175879,0.201943718,-0.283981651
3349,male,36,4.57308613,-0.866974238,-0.935661213
5445,male,32,5.870934168,0.207831846,-0.305915454
2447,female,51,4.35977338,0.086126707,-0.697188844
9461,female,25,7.409237717,0.707798496,1.776259189
8709,other,32,7.416375698,0.963928682,0.208100843
8308,other,43,3.212890246,-1.705075098,-1.227502795
9829,female,32,6.218777777,0.463590477,0.6628693
5713,female,42,6.245353233,-0.503963616,0.46004174
1906,other,32,5.123239258,-0.591124224,0.028584759
1960,male,52,2.914155071,-0.508499581,-1.758999764
9577,female,50,4.813056603,0.937722922,-0.768609836
9529,female,34,6.303605953,0.370828568,0.242856563
4494,female,36,4.149381264,-1.767858907,-0.136184038
2422,female,27,4.521699578,-0.280495241,0.022045101
2657,female,31,5.752440631,-0.088399694,-0.478097231
7905,female,35,7.811363169,0.983182435,2.020162935
3935,male,23,4.514472679,0.820109044,-1.198203765
7171,male,52,7.134550445,1.235063812,0.504944913
1858,male,22,4.135032305,-0.430093703,-0.776960274
5147,male,26,2.161699075,-1.526977785,-1.350188867
2307,female,37,5.519655736,0.932050383,0.055475559
1985,female,28,7.697366396,1.930375254,-0.293066369
1686,male,52,2.282350711,-1.596567731,-1.37629588
7805,male,48,4.854513153,-0.292892594,-0.052218991
4025,male,40,6.611655398,0.095043713,0.576253768
1771,female,31,4.665963634,0.044903223,-1.125379282
2378,female,28,4.359066121,-0.481086446,-0.655467183
7698,female,18,5.027921934,-0.285303466,-0.303951293
7408,other,24,4.464151882,-0.754024091,0.47865585
5733,female,35,4.001337127,-0.929063993,-0.782697561
3502,female,44,5.19543964,-0.045597358,0.659251796
1934,female,51,3.48373798,-0.951452561,-0.642266884
5749,female,27,5.911016495,0.805171995,-1.512039933
3852,female,23,5.69516256,0.240267695,0.2107175
9235,female,37,5.565539135,0.031203857,0.355456288
9022,female,35,4.250986215,-0.031200308,0.022702722
3297,male,39,5.531796008,-0.305484075,0.357998095
3004,female,40,7.312486489,2.356000367,0.338391547
8216,male,22,5.711456023,0.200390968,0.116919489
7501,other,51,5.150326535,-0.407009449,-0.156244316
5223,male,39,4.133029336,-0.911305761,-0.767242314
7580,female,30,6.770385196,1.155293743,0.834385393
3133,other,30,5.133150142,0.481768055,-0.568194976
4886,male,39,4.017962963,-1.447310016,-0.783583292
1435,male,43,6.046421969,0.436610195,0.434831056
4217,female,39,4.326869006,-0.458521129,-0.089602169
4510,female,41,4.85123733,0.558439867,-0.513916529
7744,female,45,3.768129487,-1.46892856,-1.092479449
3835,female,21,4.762651339,-0.690358806,-0.86405944
6868,male,33,6.752290257,0.483702059,1.225486877
3733,female,24,5.911954665,0.502291358,-0.460849508
3297,female,51,4.148531408,0.624899904,-1.267814283
5133,other,51,5.512388118,-0.717413664,-1.226568624
7749,male,51,4.885659158,-0.129470126,-0.652475103
3484,female,52,5.845082617,-1.979763229,1.80744323
4324,female,38,6.760384908,0.44715147,0.28124331
7265,male,49,6.271186457,0.86970789,0.114697693
7047,female,48,3.18348184,-0.542425399,-1.32057616
1528,male,40,4.875681067,-1.853552313,0.151901472
4734,female,51,4.674778478,-1.397385831,0.345223162
5132,male,39,3.364797581,-0.575154881,-1.97613948
6178,female,29,5.736059043,0.579079149,0.635708722
6169,female,25,4.035560447,-0.166832683,-0.508717463
3247,male,44,3.919664425,-0.234663921,0.137625269
1576,male,33,7.699048986,1.593319694,1.464431943
4772,female,23,7.092858067,0.812772591,0.812074483
9635,female,37,4.554085497,-0.504946411,-0.647484146
3675,female,19,5.002375138,-1.052436846,0.628261542
7755,female,34,4.541975258,-1.782032932,-0.514884789
6517,female,45,3.217996611,-0.448864065,-1.791315026
2453,male,49,5.926733945,0.140011615,0.781418232
4759,female,23,6.18216593,1.041624215,0.253619069
6192,female,29,5.338730873,1.413520383,-1.702974618
1978,other,25,5.45316142,-0.066661589,-0.58043885
3298,female,33,6.309736547,0.394691105,0.429852419
5685,male,52,4.313958047,-0.206764372,-0.080204684
9316,female,39,4.481438453,-0.472894715,-0.84734642
4595,female,49,4.300076798,-1.548101274,-0.904708867
4217,female,21,6.131097188,-0.142463021,1.01626171
7590,female,51,6.861464538,0.547054249,0.684609999
3298,female,33,5.719449031,0.490548344,0.38009706
4792,female,38,5.254427662,-0.845971294,1.146609473
4179,female,46,3.135586417,-2.350873165,-0.19124371
2592,female,38,4.346038637,-0.291260216,-0.250055813
6148,female,40,7.293416802,1.829172406,0.486608514
7273,female,46,5.377814129,0.310739356,-0.705873325
9499,male,49,5.087415835,0.308197448,0.773228375
4276,female,34,3.38687635,-0.889733861,-0.227813725
7472,female,52,5.366988018,0.107891392,0.593341621
7493,female,44,6.392055047,0.683895098,1.073803837
8731,female,26,7.604829075,0.962150469,0.934688242
2280,female,33,5.665714142,-0.03374421,0.846769636
4545,male,27,7.010627825,-0.324781695,2.27844453
8696,female,27,5.376128724,0.576389788,0.391943544
6715,female,30,8.60856034,3.100750788,0.876392254
7573,female,47,5.842769541,0.622884964,-0.360043386
2403,female,35,4.568737023,-0.159442341,-0.517507441
5506,male,48,4.567169181,0.486297489,-1.968849469
8764,male,35,4.667039922,-1.531574409,0.248484839
3193,female,20,5.480192895,0.871977159,-0.305443436
8330,female,34,5.591196478,-0.280341865,-0.105886646
6568,female,26,5.98125337,7.06E-04,0.836189591
6535,female,30,6.885436423,1.595151981,0.38952856
7810,female,23,6.129496192,-0.304060406,0.98026398
9368,male,43,2.627854234,-0.952913837,-1.437577511
2598,male,52,5.34549345,-0.574142314,-0.07674314
7008,male,27,9.139647136,2.794227569,1.290548874
7215,female,52,4.636556237,-0.347765642,-0.618418316
4146,female,51,3.991806783,-0.517975094,-1.385871879
7108,male,36,6.050131263,0.757634086,-0.488269414
7883,female,24,7.185521697,-0.525420024,2.044327636
6132,male,38,4.098987056,-0.527470215,-0.942298815
8145,female,25,5.397922835,-1.003257922,-0.789453385
2593,male,44,6.187727439,1.190730063,0.53837294
3220,other,38,7.059180683,0.657908122,1.92074861
1888,female,41,6.588193569,0.536862858,0.745691914
7909,female,52,5.833049969,1.413882014,-0.742152127
3472,female,22,5.84952588,-0.185297236,0.906851127
6255,female,35,4.92714149,-1.230070104,-1.038739871
4747,male,21,5.410430673,-0.048205114,0.177380066
3007,male,42,2.368048954,-1.374193029,-1.651039739
9725,female,18,4.832896287,0.400654099,-0.732177237
1839,female,26,6.037821171,-0.061444751,1.136700145
3899,male,22,4.262174594,-0.332642304,-0.26254065
6700,female,44,4.332200883,0.005785945,-1.016572267
5264,other,40,6.472726286,0.778431371,0.735258244
4693,male,46,2.919014205,-1.216739247,-2.396158368
1929,female,41,6.048965223,0.767210402,0.865110622
8198,male,48,4.378590253,-0.726610968,-0.661573489
2009,male,39,5.629198613,-0.251020531,-0.328951245
5993,female,43,5.01799177,-1.271047201,0.339937686
8685,female,35,6.128484678,-0.391022963,0.686734349
7155,female,24,5.864937727,-0.567782757,1.15083084
3743,female,31,2.361850477,-1.363033388,-2.638051279
6383,other,46,3.6500158,-1.648390455,-0.909015044
9225,other,36,5.650741667,-0.391451495,-0.594332722
9835,other,38,3.821346072,-0.957333263,-1.394979695
4372,male,45,7.188432647,1.617280428,0.074194556
1520,other,35,5.122133315,0.020481971,-0.148161596
2418,male,46,3.346726489,-0.826695981,-1.470114904
3639,female,51,4.576833798,-0.645773045,-0.172693337
7545,male,27,4.277400794,-0.491410389,-0.752934414
9120,female,35,5.175822531,0.151296503,0.128522825
7406,other,33,4.983404624,-0.6584838,-0.363360764
5854,female,51,4.335335515,-0.633857823,-0.965118512
5133,male,37,4.952756735,-0.354257098,0.83617944
2097,male,37,5.819803752,0.165775336,0.116455921
9454,male,26,5.810188834,1.027810535,-1.211750497
2475,female,19,5.487123206,0.139414458,0.301216824
3678,female,33,7.495303283,1.841598002,1.10903891
7876,female,40,4.860273308,-0.116937131,-0.064325362
1742,female,36,8.242543681,1.764936069,1.379867251
7254,female,44,5.6410283,-0.062603815,0.042530237
5064,female,34,4.785888557,-0.211099866,-0.672391219
5082,female,27,6.897304049,1.117224522,1.84958334
7189,female,37,3.867935799,-1.066479758,-1.379902856
7238,female,49,5.938530444,-0.367404734,0.395430497
1651,other,46,5.709519604,1.048335634,-1.010979911
8489,male,38,4.53897712,-0.909162777,0.674961877
7120,male,49,5.328136962,0.180420358,0.239748488
8225,other,24,5.703663992,0.71918081,-0.278996905
1372,male,25,3.955927058,-0.946573604,0.332606395
7644,female,39,5.587860044,0.298101261,0.286137286
5329,female,46,4.72615158,0.449207334,-1.042768099
2478,female,21,5.461063693,-0.416734227,0.060758341
6077,female,36,3.490617035,-1.715368578,-0.893389242
4501,female,35,6.258453148,0.504783043,-0.672507067
5249,female,48,2.574985239,-2.401313783,-0.92244578
1372,male,22,4.343505295,0.31681302,-1.024995159
2607,other,37,4.131819978,-0.038676288,-1.08307524
4176,male,45,7.250522884,0.761787957,1.095928925
3854,other,34,4.642407383,0.084498877,-1.291182793
8873,female,44,5.404508446,0.929842845,-0.314105942
3121,female,20,7.342341133,1.718624866,0.583140385
7452,female,21,4.55678797,-0.847801403,-0.81111484
9327,other,42,4.499750921,-1.35875389,0.302638732
9764,male,40,5.952623741,1.513485686,-0.181852039
9751,female,52,2.054702307,-1.5421952,-2.157783877
1757,female,37,5.051239715,0.263451574,-0.931517937
8496,female,33,5.148431104,-0.132751896,0.631543839
6701,female,29,6.944368748,-0.298314991,0.891661967
8781,male,51,5.741747563,0.070612445,1.397641263
3128,other,37,4.050761816,-0.600949785,0.646859069
2439,female,52,1.848306391,-2.35856758,-1.318859672
5253,male,23,5.750599663,0.004979992,0.049329533
4083,female,39,4.518965156,-1.008257594,-0.243568705
5610,female,36,3.990812994,-0.504044717,-1.268021685
2217,female,35,4.650998438,-0.220689188,-1.365943366
9496,female,32,5.7251768,0.310410984,0.346825397
4225,male,23,2.280525019,-1.964866414,-1.378022667
7717,male,19,4.960684732,-0.910518209,0.026235988
7656,female,36,3.363487003,-0.345291298,-1.549330281
4976,male,27,3.971058957,-0.183193638,-0.321640399
4289,male,30,6.058366328,0.876920567,0.091939199
4702,female,49,4.424243555,0.242831006,-1.107296042
1398,male,37,3.758475146,-1.635008801,-1.033856739
6781,female,27,3.561131826,-1.837054562,-0.871818339
9177,other,32,6.53429065,0.148108058,1.784063669
7619,female,43,3.977338853,0.133558136,-0.518020351
6703,female,48,7.253887787,0.809136799,0.791571445
8662,female,36,4.141020519,-0.559836203,-0.540494236
4698,female,32,3.580743908,-2.200129747,-0.100457516
2498,male,31,5.525897518,-0.285326866,0.544091081
8647,female,41,5.041473895,-0.263382425,-0.881861405
2420,male,42,5.030198,0.127070014,-0.478495309
5251,female,44,6.623863902,1.10623284,0.117851954
5724,male,47,2.184401974,-1.915197708,-1.856195637
2592,other,34,6.207656147,-0.274745164,0.999968512
1542,female,20,6.713420039,0.556886476,0.457704219
7937,other,28,6.606476839,1.614376013,-1.056031429
6840,female,28,5.764749861,0.27090274,0.203855943
6182,female,35,4.436837986,0.224409836,-0.223879604
5737,female,19,8.76349375,1.948429149,0.941642398
3166,male,42,6.965122344,1.326988708,1.239886204
2231,female,25,5.109155347,0.099370514,-0.038511423
6751,other,37,5.217955935,0.294055383,1.036046262
9343,female,45,5.302032358,-0.455073444,-0.063560498
5070,male,51,4.167287052,-0.114378385,-0.924645369
4966,female,18,7.304218112,1.767232254,0.611554089
8805,female,31,3.734322424,-2.039307747,0.09608301
7793,male,24,7.48115716,1.710692004,0.677866638
2011,female,25,3.586055931,-0.860707934,-0.686563369
8515,female,52,4.277662236,-0.595560782,-1.600506935
7351,female,29,5.908409018,0.477436111,0.425755926
8892,male,29,5.744020066,-0.188930826,-0.00440014
4335,female,36,2.839197939,-1.501814794,-1.209161026
5611,female,49,8.841942911,2.948384477,-0.326427682
4739,female,51,3.04385699,-1.116807225,-1.671412623
6179,male,51,3.425018148,-1.407010682,-0.213450194
7235,female,24,5.600197207,-0.397624226,0.03058664
8052,female,27,3.787045195,-0.783168735,-0.66946264
2760,other,40,4.654658335,-0.374028291,-0.068239684
9689,male,29,2.368814767,-1.994231168,-2.368445693
8856,female,42,1.299158489,-2.147937215,-2.478329748
6393,female,25,4.445887924,-0.242897984,0.032336269
3153,female,22,6.758020263,1.649288706,0.385920591
2875,male,44,5.742195265,0.458357219,-0.062620806
4559,female,37,5.592257813,-0.382031227,1.113739406
9708,male,20,4.525937572,-0.968890273,0.614218225
1728,female,37,4.512659548,-0.81266928,0.403762186
7496,female,30,3.826889063,0.687532744,-1.777194533
2663,male,21,6.345817751,1.155128004,0.716934823
5058,female,23,6.505109628,0.82682199,0.328394802
8627,female,30,4.730256766,-0.393794543,-0.184715725
6017,female,40,5.961511873,0.154621367,-0.661144822
5857,female,48,4.127673473,-1.091095335,-0.972077083
3964,other,23,8.291974286,1.382088361,1.552642424
5844,male,44,5.767088608,0.4667638,-1.001733468
1855,male,21,6.304005422,-0.204389261,1.128999949
4150,male,42,5.991349027,-0.263816123,0.41599884
8099,female,41,4.510854519,-0.971862754,0.062789764
3180,male,41,4.973701006,1.074912901,-1.253027046
7219,female,37,3.083229138,-0.675890037,-1.031286156
8318,female,25,6.751145996,1.441197587,0.949316586
5307,other,34,6.522768923,-1.061265449,1.763570654
8331,male,53,5.777968662,1.455589746,-0.078385567
5783,female,21,6.060612193,-1.741235481,2.03033934
3776,male,21,6.436669636,0.161288046,1.659088599
4918,female,50,3.922216832,-0.32824422,-1.373460113
3187,male,44,6.152061912,0.331468964,0.49206383
8625,female,23,5.668199738,0.599848685,-0.984501298
4594,male,27,4.008181825,-0.99220336,-1.238881192
2685,male,38,2.714278903,-2.731939842,-0.841004203
8459,male,31,5.544471588,1.096403616,-0.293033129
2290,other,38,4.069761864,-0.848953096,-1.728398539
8469,female,44,3.896624826,-0.253927218,-0.945698875
5125,female,42,3.34478479,-0.975236569,-0.653447886
5028,female,32,5.074817668,-0.05510296,-0.755050389
1374,female,25,7.816162633,1.23937497,1.931017955
8358,male,44,2.826637591,-1.585182443,-1.603112139
4901,other,27,7.233759287,2.60752531,0.591901626
6965,other,31,5.146710352,0.526685325,-0.374632488
7779,male,27,6.919947794,0.139967492,0.421758496
4149,female,40,4.871530668,-0.507156721,-0.569812407
6727,female,33,5.948911721,0.568376812,0.16736708
4866,female,48,4.276419059,-0.415438023,-1.043643482
9382,male,18,6.890914065,-0.318277682,2.457236415
8856,male,40,3.554300346,-0.769440194,-1.711567798
4807,female,29,3.913936116,-0.350214168,-0.600742354
2194,male,48,3.2194204,-0.724670621,-0.931677551
7991,male,50,4.836973298,-0.02182641,-0.53963014
8256,female,39,6.217880311,0.114644833,0.183763987
1723,female,18,5.171231023,0.550896633,-0.769907697
3307,male,29,7.12305328,1.047299187,2.832317543
4830,male,24,3.16521869,-1.803947608,-0.269026231
8604,male,23,7.358467377,0.86369633,1.677268724
1970,female,33,4.751382103,0.763679651,-0.027407295
1844,male,20,2.569963233,-1.483881395,-1.783806692
2332,male,29,6.401185343,-0.003294185,1.173274395
8021,male,40,4.226260885,-0.399164649,-1.613027692
7936,female,49,4.18626066,-1.451329588,0.723897499
6231,female,43,4.768278087,-0.659824563,0.859685861
6877,female,38,5.541976985,-0.414676564,0.815542501
1940,female,28,4.514813245,0.123037157,-1.034763316
4015,male,24,7.971210694,1.478212113,2.398168299
2173,male,18,5.264659517,-0.214505817,1.356910079
8630,male,21,5.346787625,-0.122453707,0.678949483
5902,male,33,6.298958885,-0.254725198,1.656024855
4752,male,27,6.92694931,1.589288122,0.327108523
9337,male,25,2.884842499,-0.385153121,-0.810478288
5357,female,52,4.292482943,-1.381391151,-0.525878264
7376,male,22,3.675429415,-0.60863662,-1.1663734
3673,male,36,7.602723448,1.154112447,1.663054765
8750,female,50,5.40687952,-0.385619774,0.485435726
4278,female,43,6.025647042,0.605550567,0.670637153
7912,other,52,5.516881068,0.465554098,-0.732494871
6231,female,42,4.91595533,0.007846243,0.079697991
5463,male,21,4.366134629,-0.527805975,-0.675580688
4718,female,51,4.622885767,-0.519339833,-0.322585269
2847,male,52,5.446258958,1.385673225,-0.376186045
4714,male,37,3.345662587,0.313089651,-2.15741503
8022,male,47,4.456342285,0.104672526,-1.759124454
9802,female,29,4.490798495,-1.864733367,1.777131603
7054,female,29,6.201801633,1.398156996,-0.176164334
3547,male,38,6.566854789,0.619315906,-0.182570179
2218,other,25,5.714477753,0.291795283,0.844459475
2840,female,51,5.697673673,0.173814859,0.671968926
7219,female,21,5.977766492,-0.310841949,1.517470032
4324,female,24,9.032099161,2.160653867,1.982059338
2245,female,39,4.392506956,-0.412996884,-0.115898386
8005,male,48,4.913302866,-0.860589192,-0.639191153
1984,female,30,4.907073126,-0.948730332,-0.138685776
1533,female,26,6.563477933,1.231148192,1.454497918
5223,male,36,3.893889724,-1.008776024,-0.77527267
4577,other,26,5.197153068,0.147904414,-0.153045283
3072,male,40,5.616587441,-0.677901196,0.895653195
2263,female,27,5.277668088,0.306821971,-0.839169271
1980,female,21,7.747181819,1.900579025,0.539038164
2017,female,32,5.028811261,0.103681483,0.626584989
1522,male,37,4.322596311,-1.170451156,0.462181381
1728,male,19,6.007738772,1.237159443,0.045752048
3523,female,43,5.632198224,-0.009026687,0.773253753
8959,male,37,5.433709739,0.295007973,-0.518836156
